videoFile,condition,video,speaker,callSign,colour,number,seq,id,block,exp.thisRepN,exp.thisTrialN,exp.thisN,exp.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,firstHalf.thisRepN,firstHalf.thisTrialN,firstHalf.thisN,firstHalf.thisIndex,blocksA.thisRepN,blocksA.thisTrialN,blocksA.thisN,blocksA.thisIndex,secondHalf.thisRepN,secondHalf.thisTrialN,secondHalf.thisN,secondHalf.thisIndex,blocksB.thisRepN,blocksB.thisTrialN,blocksB.thisN,blocksB.thisIndex,mouseClickOnCall.x,mouseClickOnCall.y,mouseClickOnCall.leftButton,mouseClickOnCall.midButton,mouseClickOnCall.rightButton,mouseClickOnCall.time,mouseClickOnCall.clicked_name,mouseClickOnColour.x,mouseClickOnColour.y,mouseClickOnColour.leftButton,mouseClickOnColour.midButton,mouseClickOnColour.rightButton,mouseClickOnColour.time,mouseClickOnColour.clicked_name,callSignCorrect,colourCorrect,numberCorrect,mouseClickOnNumber.x,mouseClickOnNumber.y,mouseClickOnNumber.leftButton,mouseClickOnNumber.midButton,mouseClickOnNumber.rightButton,mouseClickOnNumber.time,mouseClickOnNumber.clicked_name,participant,order,date,expName,psychopyVersion,frameRate,
video/Experiment/zh_sp01_Dr_We_4_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Dr,We,4,0,2,flow/blocks/NVocInAudio_NoVideo_A.csv,,,,,,,,,0,0,0,0,0,12,12,31,,,,,,,,,-0.40324074074074073,0.07916666666666666,1,0,0,5.206996500026435,call2,-0.011574074074074073,-0.30787037037037035,1,0,0,6.035779399971943,colour4,True,True,True,0.4064814814814815,-0.29814814814814816,1,0,0,6.837796699954197,number4,21,1,2019_Nov_14_1707,MA_Theta_Exp,3.0.7,61.10273326507573,
video/Experiment/zh_sp07_Dr_We_1_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Dr,We,1,0,2,flow/blocks/NVocInAudio_NoVideo_A.csv,,,,,,,,,0,0,0,0,0,13,13,28,,,,,,,,,-0.48657407407407405,0.075,1,0,0,4.577232100011315,call2,-0.000462962962962963,-0.3287037037037037,1,0,0,5.410665200033691,colour4,True,True,True,0.35509259259259257,0.3263888888888889,1,0,0,6.397389699995983,number1,21,1,2019_Nov_14_1707,MA_Theta_Exp,3.0.7,61.10273326507573,
video/Experiment/zh_sp01_Ad_Gr_4_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Ad,Gr,4,0,2,flow/blocks/NVocInAudio_NoVideo_A.csv,,,,,,,,,0,0,0,0,0,14,14,7,,,,,,,,,-0.40046296296296297,0.25972222222222224,1,0,0,5.5508270999998786,call1,0.014814814814814815,0.08101851851851852,1,0,0,6.258494800014887,colour2,True,True,True,0.44814814814814813,-0.2828703703703704,1,0,0,7.212590400013141,number4,21,1,2019_Nov_14_1707,MA_Theta_Exp,3.0.7,61.10273326507573,
video/Experiment/zh_sp01_Dr_Ge_1_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Dr,Ge,1,0,2,flow/blocks/NVocInAudio_NoVideo_A.csv,,,,,,,,,0,0,0,0,0,15,15,16,,,,,,,,,-0.4212962962962963,0.07546296296296297,1,0,0,5.308488000009675,call2,-0.040740740740740744,0.2875,1,0,0,6.1361313999514095,colour1,True,True,True,0.3731481481481482,0.30833333333333335,1,0,0,6.923574600019492,number1,21,1,2019_Nov_14_1707,MA_Theta_Exp,3.0.7,61.10273326507573,
video/Experiment/zh_sp07_Dr_Gr_1_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Dr,Gr,1,0,2,flow/blocks/NVocInAudio_NoVideo_A.csv,,,,,,,,,0,0,0,0,0,16,16,20,,,,,,,,,-0.3921296296296296,0.05324074074074074,1,0,0,5.398469699954148,call2,-0.0587962962962963,0.07546296296296297,1,0,0,6.016399100015406,colour2,True,True,True,0.36342592592592593,0.2916666666666667,1,0,0,6.7222673000069335,number1,21,1,2019_Nov_14_1707,MA_Theta_Exp,3.0.7,61.10273326507573,
video/Experiment/zh_sp01_Dr_We_3_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Dr,We,3,0,2,flow/blocks/NVocInAudio_NoVideo_A.csv,,,,,,,,,0,0,0,0,0,17,17,30,,,,,,,,,-0.3685185185185185,0.0763888888888889,1,0,0,5.149403499963228,call2,0.027314814814814816,-0.3189814814814815,1,0,0,6.106232499994803,colour4,True,True,True,0.3800925925925926,-0.1259259259259259,1,0,0,7.671818999981042,number3,21,1,2019_Nov_14_1707,MA_Theta_Exp,3.0.7,61.10273326507573,
video/Experiment/zh_sp07_Dr_Gr_3_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Dr,Gr,3,0,2,flow/blocks/NVocInAudio_NoVideo_A.csv,,,,,,,,,0,0,0,0,0,18,18,22,,,,,,,,,-0.3990740740740741,0.08472222222222223,1,0,0,4.870943900023121,call2,0.010648148148148148,0.09027777777777778,1,0,0,5.528997000015806,colour2,True,True,True,0.38981481481481484,-0.13148148148148148,1,0,0,6.239415299962275,number3,21,1,2019_Nov_14_1707,MA_Theta_Exp,3.0.7,61.10273326507573,
video/Experiment/zh_sp07_Dr_Ge_2_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Dr,Ge,2,0,2,flow/blocks/NVocInAudio_NoVideo_A.csv,,,,,,,,,0,0,0,0,0,19,19,17,,,,,,,,,-0.3921296296296296,0.07916666666666666,1,0,0,4.543264299980365,call2,-0.05185185185185185,0.2763888888888889,1,0,0,5.211934600025415,colour1,True,True,True,0.3453703703703704,0.07685185185185185,1,0,0,5.913685499981511,number2,21,1,2019_Nov_14_1707,MA_Theta_Exp,3.0.7,61.10273326507573,
video/Experiment/zh_sp07_Ad_We_1_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Ad,We,1,0,2,flow/blocks/NVocInAudio_NoVideo_A.csv,,,,,,,,,0,0,0,0,0,20,20,12,,,,,,,,,-0.41435185185185186,0.12824074074074074,1,0,0,4.533600400027353,call2,0.013425925925925926,-0.3037037037037037,1,0,0,5.365818599995691,colour4,False,True,True,0.3814814814814815,0.3236111111111111,1,0,0,6.225729300000239,number1,21,1,2019_Nov_14_1707,MA_Theta_Exp,3.0.7,61.10273326507573,
video/Experiment/zh_sp07_Ad_Ro_2_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Ad,Ro,2,0,2,flow/blocks/NVocInAudio_NoVideo_A.csv,,,,,,,,,0,0,0,0,0,21,21,9,,,,,,,,,-0.4449074074074074,0.3236111111111111,1,0,0,4.618265700002667,call1,0.003703703703703704,0.3277777777777778,1,0,0,6.000965000013821,colour1,True,False,True,0.4300925925925926,0.1087962962962963,1,0,0,6.497794300026726,number2,21,1,2019_Nov_14_1707,MA_Theta_Exp,3.0.7,61.10273326507573,
video/Experiment/zh_sp07_Ad_Ge_4_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Ad,Ge,4,0,2,flow/blocks/NVocInAudio_NoVideo_A.csv,,,,,,,,,0,0,0,0,0,22,22,3,,,,,,,,,-0.3560185185185185,0.24583333333333332,1,0,0,4.7727713999920525,call1,-0.01712962962962963,0.2916666666666667,1,0,0,5.336323200026527,colour1,True,True,True,0.4023148148148148,-0.3287037037037037,1,0,0,6.1606198999797925,number4,21,1,2019_Nov_14_1707,MA_Theta_Exp,3.0.7,61.10273326507573,
