TrialID,NFB_digit1,NFB_digit2,NFB_digit3,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,experimental_block.thisRepN,experimental_block.thisTrialN,experimental_block.thisN,experimental_block.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,response_exp.thisRepN,response_exp.thisTrialN,response_exp.thisN,response_exp.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,Begin.started,Begin.stopped,Fixation.started,Fixation.stopped,sound_digit1.started,sound_digit1.stopped,sound_digit2.started,sound_digit2.stopped,sound_digit3.started,sound_digit3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Begin_3.started,Begin_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.6657646000021487],42.592121400004544,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,0,0,0,0,,,,,,,,,,,,,,,,,0.0012111499963793904,None,0.4688472499983618,None,0.9519880500010913,None,['return'],[0.4495721000057529],44.72537740000553,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.6389318999936222],45.19193939999968,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.6153430000049411],45.85860160000448,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
8.0,1.0,9.0,2.0,0,0,0,0,0,8,8,8,0,0,0,0,,,,,,,,,,,,,,,,,0.010270250000758097,None,0.4869928499974776,None,0.9537409499971545,None,['return'],[0.5287079999980051],47.92716490000021,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
8.0,1.0,9.0,2.0,0,0,0,0,0,8,8,8,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.6858361000049626],48.47510100000363,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
8.0,1.0,9.0,2.0,0,0,0,0,0,8,8,8,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.6810503999950015],49.191786400006094,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
8.0,1.0,9.0,2.0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
