seq,id,block,videoFile,condition,video,speaker,callSign,colour,number,exp.thisRepN,exp.thisTrialN,exp.thisN,exp.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,firstHalf.thisRepN,firstHalf.thisTrialN,firstHalf.thisN,firstHalf.thisIndex,secondHalf.thisRepN,secondHalf.thisTrialN,secondHalf.thisN,secondHalf.thisIndex,blocksB.thisRepN,blocksB.thisTrialN,blocksB.thisN,blocksB.thisIndex,mouseClickOnCall.x,mouseClickOnCall.y,mouseClickOnCall.leftButton,mouseClickOnCall.midButton,mouseClickOnCall.rightButton,mouseClickOnCall.time,mouseClickOnCall.clicked_name,mouseClickOnColour.x,mouseClickOnColour.y,mouseClickOnColour.leftButton,mouseClickOnColour.midButton,mouseClickOnColour.rightButton,mouseClickOnColour.time,mouseClickOnColour.clicked_name,mouseClickOnNumber.x,mouseClickOnNumber.y,mouseClickOnNumber.leftButton,mouseClickOnNumber.midButton,mouseClickOnNumber.rightButton,mouseClickOnNumber.time,mouseClickOnNumber.clicked_name,callSignCorrect,colourCorrect,numberCorrect,participant,order,date,expName,psychopyVersion,frameRate,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp07_Ti_We_3_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp07,Ti,We,3,,,,,,,,,,,,,0,0,0,0,0,10,10,14,-0.3638888888888889,-0.1037037037037037,1,0,0,4.964763300000413,call3,0.04861111111111111,-0.3509259259259259,1,0,0,5.7498432000011235,colour4,0.4166666666666667,-0.13703703703703704,1,0,0,6.430712200000926,number3,True,True,True,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp07_Ti_Gr_2_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp07,Ti,Gr,2,,,,,,,,,,,,,0,0,0,0,0,11,11,5,-0.4166666666666667,-0.11898148148148148,1,0,0,4.673996100000295,call3,0.018055555555555554,0.09351851851851851,1,0,0,5.3709505000006175,colour2,0.4597222222222222,0.0962962962962963,1,0,0,5.809138399999938,number2,True,True,True,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp01_Ti_Ro_1_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp01,Ti,Ro,1,,,,,,,,,,,,,0,0,0,0,0,12,12,8,-0.3541666666666667,-0.11898148148148148,1,0,0,5.270769400000063,call3,-0.016666666666666666,-0.08703703703703704,1,0,0,5.666787199999817,colour3,0.44027777777777777,0.2810185185185185,1,0,0,6.2715090999990935,number1,True,True,True,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp01_Ti_Ge_1_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp01,Ti,Ge,1,,,,,,,,,,,,,0,0,0,0,0,13,13,0,-0.41388888888888886,-0.1037037037037037,1,0,0,6.574537899999996,call3,0.05694444444444444,0.32407407407407407,1,0,0,7.563465700000961,colour1,0.4666666666666667,0.32546296296296295,1,0,0,8.011597200000324,number1,True,True,True,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp07_Ti_Gr_3_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp07,Ti,Gr,3,,,,,,,,,,,,,0,0,0,0,0,14,14,6,-0.38055555555555554,-0.11203703703703703,1,0,0,5.017013399999996,call3,0.08611111111111111,0.10740740740740741,1,0,0,5.8919002000002365,colour2,0.4388888888888889,-0.1162037037037037,1,0,0,6.652578200000789,number3,True,True,True,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp07_Ti_Ge_4_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp07,Ti,Ge,4,,,,,,,,,,,,,0,0,0,0,0,15,15,3,-0.3888888888888889,-0.09398148148148149,1,0,0,4.544781799999328,call3,0.011111111111111112,0.38796296296296295,1,0,0,5.301412200000414,colour1,0.46805555555555556,-0.13425925925925927,1,0,0,5.970558199998777,number3,True,True,False,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp01_Un_We_1_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp01,Un,We,1,,,,,,,,,,,,,0,0,0,0,0,16,16,28,-0.425,-0.3384259259259259,1,0,0,5.197599799999807,call4,0.019444444444444445,-0.29814814814814816,1,0,0,5.737660499999038,colour4,0.3875,0.25601851851851853,1,0,0,6.408760799999072,number1,True,True,True,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp07_Un_Ge_1_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp07,Un,Ge,1,,,,,,,,,,,,,0,0,0,0,0,17,17,16,-0.40694444444444444,-0.3162037037037037,1,0,0,5.890375400000266,call4,-0.013888888888888888,0.38935185185185184,1,0,0,6.865029000000504,colour1,0.39166666666666666,0.29768518518518516,1,0,0,7.270981000001484,number1,True,True,True,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp07_Un_Ge_2_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp07,Un,Ge,2,,,,,,,,,,,,,0,0,0,0,0,18,18,17,-0.3888888888888889,-0.32037037037037036,1,0,0,4.631940699999177,call4,0.04583333333333333,0.33101851851851855,1,0,0,5.437173899999834,colour1,0.4152777777777778,0.07268518518518519,1,0,0,5.918386700001065,number2,True,True,True,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp07_Ti_Ge_3_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp07,Ti,Ge,3,,,,,,,,,,,,,0,0,0,0,0,19,19,2,-0.38472222222222224,-0.15092592592592594,1,0,0,4.640092099998583,call3,0.020833333333333332,0.3851851851851852,1,0,0,5.223181899998963,colour1,0.4111111111111111,-0.13425925925925927,1,0,0,5.824727100000018,number3,True,True,True,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
