audiofile,duration,noise,voice,words,callSign,colour,number,levels,NV_nChannels,trigger_start,trigger_end,trigger_call,trigger_col,trigger_num,trigger_call_end,trigger_col_end,trigger_num_end,newidx,block,n,callSignCorrect_mean,callSignCorrect_raw,colourCorrect_raw,mouseClickOnCall.clicked_name_raw,mouseClickOnCall.leftButton_raw,mouseClickOnCall.midButton_raw,mouseClickOnCall.rightButton_raw,mouseClickOnCall.time_raw,mouseClickOnCall.x_raw,mouseClickOnCall.y_raw,mouseClickOnColour.clicked_name_raw,mouseClickOnColour.leftButton_raw,mouseClickOnColour.midButton_raw,mouseClickOnColour.rightButton_raw,mouseClickOnColour.time_raw,mouseClickOnColour.x_raw,mouseClickOnColour.y_raw,mouseClickOnNumber.clicked_name_raw,mouseClickOnNumber.leftButton_raw,mouseClickOnNumber.midButton_raw,mouseClickOnNumber.rightButton_raw,mouseClickOnNumber.time_raw,mouseClickOnNumber.x_raw,mouseClickOnNumber.y_raw,numberCorrect_raw,order
audio/NV_DE_Neural2-D_Kr-gr-Vi_0.15p_16ch.wav,5.4463,NV,Neural2-D,Kr-gr-Vi,Kr,gr,Vi,0.15p,16ch,100,101,113,122,134,110,120,130,8,NV3,1.0,0.0,False,False,call1,1,0,0,2.4866744000000836,-0.42777777777777776,0.3138888888888889,colour2,1,0,0,3.2858543999996073,0.027777777777777776,0.09814814814814815,number4,1,0,0,3.7514140000002953,0.41388888888888886,-0.28425925925925927,False,26.0
audio/NV_DE_Neural2-F_Kr-ro-Zw_0.1p_16ch.wav,4.9106,NV,Neural2-F,Kr-ro-Zw,Kr,ro,Zw,0.1p,16ch,100,101,113,123,132,110,120,130,9,NV3,1.0,0.0,False,False,call4,1,0,0,2.17862869999999,-0.3685185185185185,-0.2972222222222222,colour2,1,0,0,2.7957988999996815,-0.037037037037037035,0.1425925925925926,number2,1,0,0,3.3621572000001834,0.3814814814814815,0.14166666666666666,False,11.0
audio/NV_DE_Neural2-D_Kr-ge-Vi_0.15p_16ch.wav,5.3664,NV,Neural2-D,Kr-ge-Vi,Kr,ge,Vi,0.15p,16ch,100,101,113,121,134,110,120,130,10,NV3,1.0,0.0,False,False,call4,1,0,0,3.958199799999875,-0.3648148148148148,-0.30185185185185187,colour2,1,0,0,4.891154199999619,-0.06944444444444445,0.15,number2,1,0,0,5.3735209000001305,0.4527777777777778,0.1175925925925926,False,15.0
audio/NV_DE_Neural2-D_Kr-we-Zw_0p_16ch.wav,5.3987,NV,Neural2-D,Kr-we-Zw,Kr,we,Zw,0p,16ch,100,101,113,124,132,110,120,130,10,NV3,1.0,0.0,False,False,call1,1,0,0,1.9835221999996975,-0.3675925925925926,0.275,colour3,1,0,0,2.731481799999983,-0.010185185185185186,-0.07592592592592592,number2,1,0,0,3.2317854000002626,0.4,0.18425925925925926,False,19.0
audio/NV_DE_Neural2-F_Ti-gr-Zw_0.1p_16ch.wav,4.9512,NV,Neural2-F,Ti-gr-Zw,Ti,gr,Zw,0.1p,16ch,100,101,114,122,132,110,120,130,11,NV3,1.0,1.0,True,False,call4,1,0,0,2.5532232000000477,-0.40925925925925927,-0.3416666666666667,colour3,1,0,0,3.535370099999909,-0.030555555555555555,-0.06574074074074074,number3,1,0,0,4.652062499999829,0.4222222222222222,-0.08425925925925926,False,1.0
audio/NV_DE_Neural2-D_Ad-we-Ei_0.1p_16ch.wav,5.6307,NV,Neural2-D,Ad-we-Ei,Ad,we,Ei,0.1p,16ch,100,101,111,124,131,110,120,130,10,NV3,1.0,1.0,True,False,call1,1,0,0,1.9632102999999006,-0.4398148148148148,0.2972222222222222,colour3,1,0,0,3.296857799999998,0.028703703703703703,-0.08611111111111111,number1,1,0,0,4.879491099999996,0.36944444444444446,0.2351851851851852,False,23.0
audio/NV_DE_Neural2-D_Ti-we-Ei_0.1p_16ch.wav,5.5762,NV,Neural2-D,Ti-we-Ei,Ti,we,Ei,0.1p,16ch,100,101,114,124,131,110,120,130,11,NV3,1.0,0.0,False,False,call2,1,0,0,2.4036412000000382,-0.4361111111111111,0.08518518518518518,colour3,1,0,0,3.435969699999987,0.05092592592592592,-0.11944444444444445,number2,1,0,0,4.135292399999798,0.37407407407407406,0.10185185185185185,False,4.0
audio/NV_DE_Neural2-F_Dr-ge-Ei_0p_16ch.wav,5.1509,NV,Neural2-F,Dr-ge-Ei,Dr,ge,Ei,0p,16ch,100,101,112,121,131,110,120,130,11,NV3,1.0,1.0,True,False,call2,1,0,0,2.4196105999999418,-0.44074074074074077,0.11388888888888889,colour1,1,0,0,3.7019523000003574,0.049074074074074076,0.2962962962962963,number1,1,0,0,4.2850038000001405,0.36944444444444446,0.3194444444444444,False,6.0
audio/NV_DE_Neural2-F_Dr-ro-Zw_0.15p_16ch.wav,4.9019,NV,Neural2-F,Dr-ro-Zw,Dr,ro,Zw,0.15p,16ch,100,101,112,123,132,110,120,130,10,NV3,1.0,0.0,False,False,call4,1,0,0,2.7815503000001627,-0.3592592592592593,-0.2824074074074074,colour2,1,0,0,3.5465791999999965,-0.026851851851851852,0.11388888888888889,number2,1,0,0,4.181814499999746,0.39166666666666666,0.0712962962962963,False,12.0
audio/NV_DE_Neural2-F_Dr-ge-Ei_0.15p_16ch.wav,5.1509,NV,Neural2-F,Dr-ge-Ei,Dr,ge,Ei,0.15p,16ch,100,101,112,121,131,110,120,130,9,NV3,1.0,0.0,False,False,call3,1,0,0,2.037054000000353,-0.4074074074074074,-0.10648148148148148,colour3,1,0,0,2.8856981999997515,0.012037037037037037,-0.07314814814814814,number3,1,0,0,4.034897600000022,0.4388888888888889,-0.1175925925925926,False,28.0

extraInfo
participant,s003
order,2
date,2024-04-25_08h38.20.528
expName,SentenceInNoise
psychopyVersion,2024.1.1
frameRate,None
expStart,2024-04-25 08h38.41.453396 +0200
