audiofile,duration,noise,voice,words,callSign,colour,number,levels,NV_nChannels,trigger_start,trigger_end,trigger_call,trigger_col,trigger_num,trigger_call_end,trigger_col_end,trigger_num_end,file,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,rater,newidx,block,n,callSignCorrect_mean,callSignCorrect_raw,colourCorrect_mean,colourCorrect_raw,mouseClickOnCall.clicked_name_raw,mouseClickOnCall.leftButton_raw,mouseClickOnCall.midButton_raw,mouseClickOnCall.rightButton_raw,mouseClickOnCall.time_raw,mouseClickOnCall.x_raw,mouseClickOnCall.y_raw,mouseClickOnColour.clicked_name_raw,mouseClickOnColour.leftButton_raw,mouseClickOnColour.midButton_raw,mouseClickOnColour.rightButton_raw,mouseClickOnColour.time_raw,mouseClickOnColour.x_raw,mouseClickOnColour.y_raw,mouseClickOnNumber.clicked_name_raw,mouseClickOnNumber.leftButton_raw,mouseClickOnNumber.midButton_raw,mouseClickOnNumber.rightButton_raw,mouseClickOnNumber.time_raw,mouseClickOnNumber.x_raw,mouseClickOnNumber.y_raw,numberCorrect_mean,numberCorrect_raw,order
audio/NV_DE_Neural2-D_Dr-ge-Zw_0.15p_16ch.wav,5.3371,NV,Neural2-D,Dr-ge-Zw,Dr,ge,Zw,0.15p,16ch,100,101,112,121,132,110,120,130,DE_Neural2-D_Dr-ge-Zw.TextGrid,0.16712,4.588619873,0.829247909,1.265558842,2.587275645,2.964254973,4.219875396,4.588619873,mean,1,NV1,1,1,TRUE,0,FALSE,call2,1,0,0,1.6905965,-0.372222222,0.114814815,colour1,1,0,0,2.2573848,0.012037037,0.269444444,number2,1,0,0,2.9568783,0.421296296,0.076851852,0,FALSE,21
audio/NV_DE_Neural2-D_Kr-ge-Dr_0.2p_16ch.wav,5.3277,NV,Neural2-D,Kr-ge-Dr,Kr,ge,Dr,0.2p,16ch,100,101,113,121,133,110,120,130,DE_Neural2-D_Kr-ge-Dr.TextGrid,0.16712,4.586253129,0.820092506,1.291434217,2.667627677,3.03712,4.290866479,4.586253129,mean,1,NV1,1,1,TRUE,0,FALSE,call3,1,0,0,1.8119441,-0.374074074,-0.098148148,colour1,1,0,0,2.5608066,-0.012962963,0.317592593,number3,1,0,0,3.2106274,0.333333333,-0.105555556,0,FALSE,20
audio/NV_DE_Neural2-F_Ad-gr-Dr_0.1p_16ch.wav,4.9406,NV,Neural2-F,Ad-gr-Dr,Ad,gr,Dr,0.1p,16ch,100,101,111,122,133,110,120,130,DE_Neural2-F_Ad-gr-Dr.TextGrid,0.17712,4.221119126,0.717638501,1.261353715,2.278828717,2.666081245,3.867840485,4.221119126,mean,3,NV1,1,1,TRUE,0,FALSE,call1,1,0,0,1.6740981,-0.350925926,0.319444444,colour2,1,0,0,2.1892685,0.000925926,0.069444444,number3,1,0,0,3.0218292,0.389814815,-0.080555556,0,FALSE,43
audio/NV_DE_Neural2-D_Ad-ro-Vi_0.2p_16ch.wav,5.5054,NV,Neural2-D,Ad-ro-Vi,Ad,ro,Vi,0.2p,16ch,100,101,111,123,134,110,120,130,DE_Neural2-D_Ad-ro-Vi.TextGrid,0.16712,4.767699078,0.807843179,1.34712,2.7515981,3.145156708,4.38712,4.767699078,mean,2,NV1,1,1,TRUE,0,FALSE,call1,1,0,0,1.6605554,-0.438888889,0.306481481,colour3,1,0,0,2.2767755,0.000925926,-0.1,number4,1,0,0,2.9263667,0.47962963,-0.299074074,0,FALSE,47
audio/NV_DE_Neural2-F_Dr-gr-Ei_0.2p_16ch.wav,5.1726,NV,Neural2-F,Dr-gr-Ei,Dr,gr,Ei,0.2p,16ch,100,101,112,122,131,110,120,130,DE_Neural2-F_Dr-gr-Ei.TextGrid,0.16712,4.39575972,0.693916341,1.221997131,2.248349087,2.636304902,3.809224293,4.39575972,mean,0,NV1,1,1,TRUE,0,FALSE,call2,1,0,0,2.0919676,-0.341666667,0.082407407,colour2,1,0,0,2.641237,0.044444444,0.075,number1,1,0,0,3.3086673,0.407407407,0.305555556,0,FALSE,33
audio/NV_DE_Neural2-F_Kr-gr-Zw_0.2p_16ch.wav,4.975,NV,Neural2-F,Kr-gr-Zw,Kr,gr,Zw,0.2p,16ch,100,101,113,122,132,110,120,130,DE_Neural2-F_Kr-gr-Zw.TextGrid,0.17712,4.235781575,0.725494695,1.25712,2.24588489,2.631334672,3.821745809,4.235781575,mean,2,NV1,1,0,FALSE,0,FALSE,call1,1,0,0,1.9412904,-0.380555556,0.282407407,colour2,1,0,0,2.5230842,0,0.063888889,number2,1,0,0,3.0564079,0.330555556,0.110185185,0,FALSE,44
audio/NV_DE_Neural2-F_Kr-ge-Ei_0.1p_16ch.wav,5.1524,NV,Neural2-F,Kr-ge-Ei,Kr,ge,Ei,0.1p,16ch,100,101,113,121,131,110,120,130,DE_Neural2-F_Kr-ge-Ei.TextGrid,0.16712,4.39504837,0.711415681,1.23712,2.280731688,2.600846281,3.781463541,4.39504837,mean,2,NV1,1,1,TRUE,0,FALSE,call3,1,0,0,1.6780836,-0.362962963,-0.123148148,colour2,1,0,0,2.3609936,0.042592593,0.082407407,number1,1,0,0,3.2933751,0.427777778,0.30462963,0,FALSE,19
audio/NV_DE_Neural2-F_Ad-we-Ei_0p_16ch.wav,5.1733,NV,Neural2-F,Ad-we-Ei,Ad,we,Ei,0p,16ch,100,101,111,124,131,110,120,130,DE_Neural2-F_Ad-we-Ei.TextGrid,0.16712,4.411088337,0.7143011,1.25712,2.266706193,2.64712,3.798104397,4.411088337,mean,1,NV1,1,0,FALSE,0,FALSE,call4,1,0,0,1.6490818,-0.400925926,-0.285185185,colour4,1,0,0,2.1497077,0.006481481,-0.275,number1,1,0,0,2.9817033,0.448148148,0.298148148,0,FALSE,25
audio/NV_DE_Neural2-D_Dr-we-Vi_0.1p_16ch.wav,5.3208,NV,Neural2-D,Dr-we-Vi,Dr,we,Vi,0.1p,16ch,100,101,112,124,134,110,120,130,DE_Neural2-D_Dr-we-Vi.TextGrid,0.17712,4.588394144,0.844163641,1.296550834,2.614273293,3.014981485,4.223673499,4.588394144,mean,3,NV1,1,1,TRUE,0,FALSE,call2,1,0,0,2.5679219,-0.368518519,0.061111111,colour4,1,0,0,3.4494471,-0.031481481,-0.312962963,number2,1,0,0,4.0990901,0.383333333,0.069444444,0,FALSE,5
audio/NV_DE_Neural2-F_Ti-ge-Zw_0.15p_16ch.wav,4.9601,NV,Neural2-F,Ti-ge-Zw,Ti,ge,Zw,0.15p,16ch,100,101,114,121,132,110,120,130,DE_Neural2-F_Ti-ge-Zw.TextGrid,0.17712,4.235900139,0.76629927,1.203725367,2.290256664,2.60712,3.812917043,4.235900139,mean,1,NV1,1,1,TRUE,0,FALSE,call4,1,0,0,1.6354724,-0.390740741,-0.262037037,colour1,1,0,0,2.3511683,0.035185185,0.319444444,number2,1,0,0,2.9340128,0.397222222,0.10462963,0,FALSE,12
audio/NV_DE_Neural2-F_Ad-gr-Vi_0.2p_16ch.wav,4.9836,NV,Neural2-F,Ad-gr-Vi,Ad,gr,Vi,0.2p,16ch,100,101,111,122,134,110,120,130,DE_Neural2-F_Ad-gr-Vi.TextGrid,0.16712,4.24712,0.704549123,1.228850479,2.24337307,2.630923744,3.817547972,4.24712,mean,3,NV1,1,1,TRUE,0,FALSE,call1,1,0,0,1.8311316,-0.35,0.319444444,colour2,1,0,0,2.3633903,0.019444444,0.086111111,number2,1,0,0,3.5794434,0.382407407,0.088888889,0,FALSE,6
