TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,NV_trial,Triggered_trial,Jitter_trial,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,response_exp.thisRepN,response_exp.thisTrialN,response_exp.thisN,response_exp.thisIndex,text.started,text.stopped,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,response_practice_resp.keys,response_practice_resp.rt,response_practice_resp.started,response_practice_resp.stopped,text_practice_repeat.started,text_practice_repeat.stopped,text_calibration_repeat.started,text_calibration_repeat.stopped,text_2.started,text_2.stopped,text_break.started,text_break.stopped,Fixation.started,Fixation.stopped,text_6.started,text_6.stopped,sound_digit1.started,sound_digit1.stopped,sound_digit2.started,sound_digit2.stopped,sound_digit3.started,sound_digit3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_nextblock.started,text_nextblock.stopped,response_nextblock.keys,response_nextblock.started,response_nextblock.stopped,response_nextblock.rt,participant,session,date,expName,psychopyVersion,frameRate,
5.0,4.0,1.0,0.0,33.0,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2021_Oct_28_1500,eeg_contingent_digits,2021.2.3,60.02573903679031,
6.0,9.0,2.0,6.0,13.0,,,,0,0,0,0,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,0.012181219994090497,None,0.4910404199945333,None,0.974078119994374,None,"['num_9', 'return']","[0.44584089999989374, 1.16585920000216]",248.30043509999814,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2021_Oct_28_1500,eeg_contingent_digits,2021.2.3,60.02573903679031,
6.0,9.0,2.0,6.0,13.0,,,,0,0,0,0,0,6,6,6,1,0,1,0,,,,,,,,,,,,,,,,,,,,,"['num_2', 'return']","[1.5422689000006358, 2.062360700001591]",249.49999049999678,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2021_Oct_28_1500,eeg_contingent_digits,2021.2.3,60.02573903679031,
6.0,9.0,2.0,6.0,13.0,,,,0,0,0,0,0,6,6,6,2,0,2,0,,,,,,,,,,,,,,,,,,,,,"['num_6', 'return']","[0.44307739999931073, 0.9710359999990033]",251.59919179999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2021_Oct_28_1500,eeg_contingent_digits,2021.2.3,60.02573903679031,
6.0,9.0,2.0,6.0,13.0,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2021_Oct_28_1500,eeg_contingent_digits,2021.2.3,60.02573903679031,
7.0,2.0,3.0,0.0,10.0,,,,0,0,0,0,0,7,7,7,0,0,0,0,,,,,,,,,,,,,,,0.0038203199983399827,None,0.47427521999634337,None,0.9573339199960174,None,"['num_2', 'return']","[0.6486187000009522, 1.2566168000012112]",254.08158849999745,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2021_Oct_28_1500,eeg_contingent_digits,2021.2.3,60.02573903679031,
7.0,2.0,3.0,0.0,10.0,,,,0,0,0,0,0,7,7,7,1,0,1,0,,,,,,,,,,,,,,,,,,,,,"['num_3', 'return']","[0.48513010000169743, 1.07715360000293]",255.3810670999992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2021_Oct_28_1500,eeg_contingent_digits,2021.2.3,60.02573903679031,
7.0,2.0,3.0,0.0,10.0,,,,0,0,0,0,0,7,7,7,2,0,2,0,,,,,,,,,,,,,,,,,,,,,"['num_0', 'return']","[0.48891890000231797, 1.0248584000000847]",256.49732689999655,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2021_Oct_28_1500,eeg_contingent_digits,2021.2.3,60.02573903679031,
7.0,2.0,3.0,0.0,10.0,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2021_Oct_28_1500,eeg_contingent_digits,2021.2.3,60.02573903679031,
8.0,1.0,9.0,2.0,48.0,,,,0,0,0,0,0,8,8,8,0,0,0,0,,,,,,,,,,,,,,,0.00467012000081013,None,0.4760411200004455,None,0.9924418199989304,None,"['num_1', 'return']","[0.699140400000033, 1.3631309999982477]",259.06302519999736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2021_Oct_28_1500,eeg_contingent_digits,2021.2.3,60.02573903679031,
