audiofile,duration,noise,voice,words,callSign,colour,number,levels,file,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,RAND_formula
audio/NV_DE_Neural2-D_Dr-ge-Ei_0.95p.wav,5.4374,NV,Neural2-D,Dr-ge-Ei,Dr,ge,Ei,0.95p,DE_Neural2-D_Dr-ge-Ei.TextGrid,0.16712,4.68712,0.78712,1.25712,2.20712,2.56712,3.71712,4.17712,0.968182267
audio/NV_DE_Neural2-D_Kr-ro-Ei_0.8p.wav,5.4911,NV,Neural2-D,Kr-ro-Ei,Kr,ro,Ei,0.8p,DE_Neural2-D_Kr-ro-Ei.TextGrid,0.16712,4.74712,0.78712,1.26712,2.31712,2.66712,3.78712,4.28712,0.968979115
audio/NV_DE_Neural2-D_Kr-we-Vi_0.8p.wav,5.3989,NV,Neural2-D,Kr-we-Vi,Kr,we,Vi,0.8p,DE_Neural2-D_Kr-we-Vi.TextGrid,0.16712,4.62712,0.78712,1.29712,2.38712,2.64712,3.79712,4.27712,0.969247248
audio/NV_DE_Neural2-D_Dr-we-Ei_0.4p.wav,5.4548,NV,Neural2-D,Dr-we-Ei,Dr,we,Ei,0.4p,DE_Neural2-D_Dr-we-Ei.TextGrid,0.17712,4.69712,0.802109,1.26712,2.32712,2.58712,3.74712,4.24712,0.969551976
audio/NV_DE_Neural2-F_Dr-gr-Dr_0.8p.wav,4.9037,NV,Neural2-F,Dr-gr-Dr,Dr,gr,Dr,0.8p,DE_Neural2-F_Dr-gr-Dr.TextGrid,0.16712,4.16712,0.65712,1.20712,2.02712,2.20712,3.30712,3.78712,0.970047904
audio/NV_DE_Neural2-F_Ti-we-Ei_0.85p.wav,5.17,NV,Neural2-F,Ti-we-Ei,Ti,we,Ei,0.85p,DE_Neural2-F_Ti-we-Ei.TextGrid,0.16712,4.37712,0.76712,1.20712,2.05712,2.25712,3.35712,3.77712,0.97128524
audio/NV_DE_Neural2-D_Dr-gr-Ei_0.75p.wav,5.5639,NV,Neural2-D,Dr-gr-Ei,Dr,gr,Ei,0.75p,DE_Neural2-D_Dr-gr-Ei.TextGrid,0.16712,4.82712,0.79712,1.26712,2.32712,2.61712,3.84712,4.34712,0.971534915
audio/NV_DE_Neural2-F_Ti-ge-Ei_0.6p.wav,5.0991,NV,Neural2-F,Ti-ge-Ei,Ti,ge,Ei,0.6p,DE_Neural2-F_Ti-ge-Ei.TextGrid,0.16712,4.33712,0.69712,1.21712,2.05712,2.25712,3.30712,3.72712,0.971616449
audio/NV_DE_Neural2-F_Dr-gr-Zw_0.75p.wav,4.9693,NV,Neural2-F,Dr-gr-Zw,Dr,gr,Zw,0.75p,DE_Neural2-F_Dr-gr-Zw.TextGrid,0.16712,4.22712,0.66712,1.21712,2.03712,2.21712,3.30712,3.78712,0.973406526
audio/NV_DE_Neural2-D_Kr-ge-Zw_0.75p.wav,5.3629,NV,Neural2-D,Kr-ge-Zw,Kr,ge,Zw,0.75p,DE_Neural2-D_Kr-ge-Zw.TextGrid,0.16712,4.60712,0.78712,1.29712,2.36712,2.61712,3.75712,4.21712,0.973465245
audio/NV_DE_Neural2-D_Dr-gr-Vi_0.85p.wav,5.4555,NV,Neural2-D,Dr-gr-Vi,Dr,gr,Vi,0.85p,DE_Neural2-D_Dr-gr-Vi.TextGrid,0.16712,4.73712,0.80712,1.31712,2.29712,2.66712,3.87712,4.35712,0.973843173
audio/NV_DE_Neural2-F_Ad-we-Zw_0.4p.wav,4.9822,NV,Neural2-F,Ad-we-Zw,Ad,we,Zw,0.4p,DE_Neural2-F_Ad-we-Zw.TextGrid,0.16712,4.24712,0.68712,1.24712,1.98712,2.24712,3.33712,3.79712,0.974179674
audio/NV_DE_Neural2-F_Kr-we-Vi_0.6p.wav,5.0222,NV,Neural2-F,Kr-we-Vi,Kr,we,Vi,0.6p,DE_Neural2-F_Kr-we-Vi.TextGrid,0.17712,4.29712,0.692109,1.25712,2.00712,2.27712,3.36712,3.83712,0.975218105
