TrialID,NFB_digit1,NFB_digit2,NFB_digit3,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,experimental_block.thisRepN,experimental_block.thisTrialN,experimental_block.thisN,experimental_block.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,response_exp.thisRepN,response_exp.thisTrialN,response_exp.thisN,response_exp.thisIndex,control_block.thisRepN,control_block.thisTrialN,control_block.thisN,control_block.thisIndex,ctrl_trials.thisRepN,ctrl_trials.thisTrialN,ctrl_trials.thisN,ctrl_trials.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,Begin.started,Begin.stopped,Fixation.started,Fixation.stopped,sound_digit1.started,sound_digit1.stopped,sound_digit2.started,sound_digit2.stopped,sound_digit3.started,sound_digit3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Begin_3.started,Begin_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.1867917000054149],38.03881700000056,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.15918770000280347],38.25545649999549,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
8.0,1.0,9.0,2.0,0,0,0,0,0,8,8,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.010101530002430081,None,0.48673772999609355,None,0.9729714299974148,None,['return'],[0.3278636999966693],39.88868249999359,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
8.0,1.0,9.0,2.0,0,0,0,0,0,8,8,8,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.1792843000002904],40.23858949999703,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
8.0,1.0,9.0,2.0,0,0,0,0,0,8,8,8,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.16718180000316352],40.43848729999445,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
8.0,1.0,9.0,2.0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
9.0,8.0,1.0,0.0,0,0,0,0,0,9,9,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.00698553000256652,None,0.4802803299971856,None,0.9634692300023744,None,['return'],[0.3950477999969735],42.07442619999347,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
9.0,8.0,1.0,0.0,0,0,0,0,0,9,9,9,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.16904589999467134],42.48843939999642,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
9.0,8.0,1.0,0.0,0,0,0,0,0,9,9,9,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.1451972999930149],42.68829399999959,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
9.0,8.0,1.0,0.0,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.85527759999968,None,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
