audiofile,duration,noise,voice,words,callSign,colour,number,levels,trigger_start,trigger_end,trigger_call,trigger_col,trigger_num,file,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,rater,newidx,block
audio/NV_DE_Neural2-D_Ad-gr-Zw_0.4p.wav,5.6024,NV,Neural2-D,Ad-gr-Zw,Ad,gr,Zw,0.4p,100,101,111,122,132,DE_Neural2-D_Ad-gr-Zw.TextGrid,0.17712,4.875681643666667,0.8307015400000001,1.3451374296666667,2.7867554906666663,3.1866842253333334,4.492491681,4.875681643666667,mean,24,NV2
audio/NV_DE_Neural2-D_Kr-ge-Vi_0.2p.wav,5.3664,NV,Neural2-D,Kr-ge-Vi,Kr,ge,Vi,0.2p,100,101,113,121,134,DE_Neural2-D_Kr-ge-Vi.TextGrid,0.17712,4.628081390999999,0.8223114586666668,1.2836508426666666,2.649735724333333,3.0240856693333336,4.255562202999999,4.628081390999999,mean,18,NV2
audio/NV_DE_Neural2-D_Kr-ro-Dr_0.6p.wav,5.3268,NV,Neural2-D,Kr-ro-Dr,Kr,ro,Dr,0.6p,100,101,113,123,133,DE_Neural2-D_Kr-ro-Dr.TextGrid,0.16712,4.570751391333333,0.8219184506666667,1.285439556,2.661159586333333,3.052878153,4.298028573,4.570751391333333,mean,20,NV2
audio/NV_DE_Neural2-F_Ad-gr-Dr_0.2p.wav,4.9406,NV,Neural2-F,Ad-gr-Dr,Ad,gr,Dr,0.2p,100,101,111,122,133,DE_Neural2-F_Ad-gr-Dr.TextGrid,0.17712,4.2211191260000005,0.7176385006666667,1.261353715,2.278828717333333,2.6660812453333333,3.8678404846666665,4.2211191260000005,mean,27,NV2
audio/NV_DE_Neural2-D_Kr-ge-Ei_0.2p.wav,5.4552,NV,Neural2-D,Kr-ge-Ei,Kr,ge,Ei,0.2p,100,101,113,121,131,DE_Neural2-D_Kr-ge-Ei.TextGrid,0.16712,4.731414419666667,0.8219935486666667,1.283029782,2.6592679953333334,3.01712,4.279938414666667,4.731414419666667,mean,26,NV2
audio/NV_DE_Neural2-F_Kr-gr-Vi_0.4p.wav,5.0049,NV,Neural2-F,Kr-gr-Vi,Kr,gr,Vi,0.4p,100,101,113,122,134,DE_Neural2-F_Kr-gr-Vi.TextGrid,0.17712,4.27712,0.7148712996666666,1.2426173516666668,2.278127170333333,2.654154589,3.838392607,4.27712,mean,25,NV2
audio/NV_DE_Neural2-D_Ad-we-Ei_0.4p.wav,5.6307,NV,Neural2-D,Ad-we-Ei,Ad,we,Ei,0.4p,100,101,111,124,131,DE_Neural2-D_Ad-we-Ei.TextGrid,0.16712,4.861934027999999,0.8009548706666667,1.3394707583333334,2.756038744,3.153593962,4.416756344666666,4.861934027999999,mean,18,NV2
audio/NV_DE_Neural2-F_Dr-ro-Zw_0.6p.wav,4.9019,NV,Neural2-F,Dr-ro-Zw,Dr,ro,Zw,0.6p,100,101,112,123,132,DE_Neural2-F_Dr-ro-Zw.TextGrid,0.15712,4.175259337666667,0.6789220779999999,1.1914655676666666,2.187689010666667,2.54712,3.760517414,4.175259337666667,mean,26,NV2
audio/NV_DE_Neural2-D_Dr-gr-Zw_0.2p.wav,5.4445,NV,Neural2-D,Dr-gr-Zw,Dr,gr,Zw,0.2p,100,101,112,122,132,DE_Neural2-D_Dr-gr-Zw.TextGrid,0.16712,4.689071821,0.8269683753333333,1.29072833,2.646814775333333,3.0646381013333333,4.338018531333333,4.689071821,mean,20,NV2
audio/NV_DE_Neural2-D_Ad-we-Dr_0.2p.wav,5.4683,NV,Neural2-D,Ad-we-Dr,Ad,we,Dr,0.2p,100,101,111,124,133,DE_Neural2-D_Ad-we-Dr.TextGrid,0.17712,4.706794303333333,0.821289179,1.3506719886666667,2.7551441880000005,3.1553226233333334,4.420868294333333,4.706794303333333,mean,28,NV2
