TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,TrialID_ME,NFB_digit1_ME,NFB_digit2_ME,NFB_digit3_ME,Speaker_trial_ME,NV_trial_ME,Triggered_trial_ME,Jitter_trial_ME,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,ME_trials.thisRepN,ME_trials.thisTrialN,ME_trials.thisN,ME_trials.thisIndex,response_ME.thisRepN,response_ME.thisTrialN,response_ME.thisN,response_ME.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,response_practice_resp.keys,response_practice_resp.rt,response_practice_resp.started,response_practice_resp.stopped,text_practice_repeat.started,text_practice_repeat.stopped,text_4.started,text_4.stopped,Fixation_ME.started,Fixation_ME.stopped,sound_digit_1_ME.started,sound_digit_1_ME.stopped,sound_digit_2_ME.started,sound_digit_2_ME.stopped,sound_digit_3_ME.started,sound_digit_3_ME.stopped,text_2.started,text_2.stopped,key_resp_ME.keys,key_resp_ME.rt,key_resp_ME.started,key_resp_ME.stopped,disp_answer_ME.started,disp_answer_ME.stopped,text_7.started,text_7.stopped,text_5.started,text_5.stopped,text_8.started,text_8.stopped,text_next_block_ME.started,text_next_block_ME.stopped,response_nextblock_ME.keys,response_nextblock_ME.started,response_nextblock_ME.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,4.0,5.0,2.0,4.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,0,4,4,4,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,"['3', 'return']","[0.47016359999543056, 0.6056496999808587]",65.35725719999755,None,65.35725719999755,None,65.35725719999755,None,,,,,,,,,,1,001,2021_Nov_15_1513,eeg_contingent_digits,2021.2.3,60.059482910336776,
,,,,,4.0,5.0,2.0,4.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,0,4,4,4,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,"['4', 'return']","[0.07551490003243089, 0.20680550002725795]",66.00615000003017,None,66.00615000003017,None,66.00615000003017,None,,,,,,,,,,1,001,2021_Nov_15_1513,eeg_contingent_digits,2021.2.3,60.059482910336776,
,,,,,4.0,5.0,2.0,4.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.2615347999963,None,66.2615347999963,None,None,None,None,None,None,1,001,2021_Nov_15_1513,eeg_contingent_digits,2021.2.3,60.059482910336776,
,,,,,5.0,9.0,1.0,2.0,14.0,1.0,0.0,-1.0,,,,,,,,,,,,,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,68.26938449998852,None,0.013043950020801276,None,0.48719185002846643,None,0.970533850020729,None,70.33539379999274,71.33574670000235,"['0', 'return']","[0.1121980000170879, 0.2428947000298649]",71.78158080001594,None,71.78158080001594,None,71.78158080001594,None,,,,,,,,,,1,001,2021_Nov_15_1513,eeg_contingent_digits,2021.2.3,60.059482910336776,
,,,,,5.0,9.0,1.0,2.0,14.0,1.0,0.0,-1.0,,,,,,,,,,,,,0,5,5,5,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,"['1', 'return']","[0.27881649998016655, 0.38461770000867546]",72.07417909998912,None,72.07417909998912,None,72.07417909998912,None,,,,,,,,,,1,001,2021_Nov_15_1513,eeg_contingent_digits,2021.2.3,60.059482910336776,
,,,,,5.0,9.0,1.0,2.0,14.0,1.0,0.0,-1.0,,,,,,,,,,,,,0,5,5,5,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,"['2', 'return']","[0.09143209998728707, 0.21077070001047105]",72.50618349999422,None,72.50618349999422,None,72.50618349999422,None,,,,,,,,,,1,001,2021_Nov_15_1513,eeg_contingent_digits,2021.2.3,60.059482910336776,
,,,,,5.0,9.0,1.0,2.0,14.0,1.0,0.0,-1.0,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.75831490004202,None,72.75831490004202,None,None,None,None,None,None,1,001,2021_Nov_15_1513,eeg_contingent_digits,2021.2.3,60.059482910336776,
,,,,,6.0,4.0,2.0,9.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,74.76887130003888,None,0.0038359800237230957,None,0.48686098004691303,None,0.9755255799973384,None,76.85854280000785,77.86895430000732,"['5', 'return']","[0.29505519999656826, 0.4221730999997817]",78.31952950003324,None,78.31952950003324,None,78.31952950003324,None,,,,,,,,,,1,001,2021_Nov_15_1513,eeg_contingent_digits,2021.2.3,60.059482910336776,
,,,,,6.0,4.0,2.0,9.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,6,6,6,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,"['2', 'return']","[0.1531789000146091, 0.26437129999976605]",78.78959540004143,None,78.78959540004143,None,78.78959540004143,None,,,,,,,,,,1,001,2021_Nov_15_1513,eeg_contingent_digits,2021.2.3,60.059482910336776,
,,,,,6.0,4.0,2.0,9.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,6,6,6,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,"['9', 'return']","[0.24289759999373928, 0.36129390000132844]",79.10576000000583,None,79.10576000000583,None,79.10576000000583,None,,,,,,,,,,1,001,2021_Nov_15_1513,eeg_contingent_digits,2021.2.3,60.059482910336776,
