TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,TrialID_ME,NFB_digit1_ME,NFB_digit2_ME,NFB_digit3_ME,Speaker_trial_ME,NV_trial_ME,Triggered_trial_ME,Jitter_trial_ME,NV_trial,Triggered_trial,Jitter_trial,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,ME_trials.thisRepN,ME_trials.thisTrialN,ME_trials.thisN,ME_trials.thisIndex,response_ME.thisRepN,response_ME.thisTrialN,response_ME.thisN,response_ME.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,response_exp.thisRepN,response_exp.thisTrialN,response_exp.thisN,response_exp.thisIndex,Digit1_clear.started,Digit1_clear.stopped,response_practice_resp.keys,response_practice_resp.rt,response_practice_resp.started,response_practice_resp.stopped,text_practice_repeat.started,text_practice_repeat.stopped,text_4.started,text_4.stopped,Fixation_ME.started,Fixation_ME.stopped,sound_digit_1_ME.started,sound_digit_1_ME.stopped,text_2.started,text_2.stopped,key_resp_ME.keys,key_resp_ME.rt,key_resp_ME.started,key_resp_ME.stopped,disp_answer_ME.started,disp_answer_ME.stopped,text_7.started,text_7.stopped,text_next_block_ME.started,text_next_block_ME.stopped,response_nextblock_ME.keys,response_nextblock_ME.started,response_nextblock_ME.stopped,response_nextblock_ME.rt,text_break.started,text_break.stopped,Fixation.started,Fixation.stopped,text_6.started,text_6.stopped,Fixation_Play.started,Fixation_Play.stopped,sound_digit1.started,sound_digit1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_nextblock.started,text_nextblock.stopped,response_nextblock.keys,response_nextblock.started,response_nextblock.stopped,response_nextblock.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_2303,eeg_contingent_digits,2021.2.3,60.17035430840072,
,,,,,1.0,0.0,8.0,3.0,49.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,49.656964299996616,None,0.0029711600072914734,None,51.75378759999876,None,"['0', 'return']","[0.4493518999952357, 0.6474159999997937]",52.76799490000121,None,52.76799490000121,None,52.76799490000121,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_2303,eeg_contingent_digits,2021.2.3,60.17035430840072,
,,,,,1.0,0.0,8.0,3.0,49.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_2303,eeg_contingent_digits,2021.2.3,60.17035430840072,
,,,,,2.0,4.0,9.0,2.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,53.52114360000269,None,0.015603849999024533,None,55.597552400002314,None,"['4', 'return']","[0.39652119999664137, 0.6136326999985613]",56.615051000000676,None,56.615051000000676,None,56.615051000000676,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_2303,eeg_contingent_digits,2021.2.3,60.17035430840072,
,,,,,2.0,4.0,9.0,2.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_2303,eeg_contingent_digits,2021.2.3,60.17035430840072,
,,,,,3.0,6.0,2.0,9.0,33.0,1.0,0.0,-0.0,,,,,,,,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,,,57.33816189999925,None,0.001547659994685091,None,59.43410910000239,None,"['3', 'return']","[0.33790160000353353, 0.5776810000024852]",60.44747510000161,None,60.44747510000161,None,60.44747510000161,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_2303,eeg_contingent_digits,2021.2.3,60.17035430840072,
,,,,,3.0,6.0,2.0,9.0,33.0,1.0,0.0,-0.0,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.2228002999982,None,return,61.2228002999982,None,2.3158368000003975,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_2303,eeg_contingent_digits,2021.2.3,60.17035430840072,
0.0,3.0,6.0,8.0,21.0,,,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.58327109999664,None,65.87116769999557,None,65.87116769999557,None,67.94642300000123,None,0.01061585999559611,None,['return'],[1.3916100999995251],69.36119229999895,None,,,,,,,1,001,2021_Nov_17_2303,eeg_contingent_digits,2021.2.3,60.17035430840072,
0.0,3.0,6.0,8.0,21.0,,,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,1,001,2021_Nov_17_2303,eeg_contingent_digits,2021.2.3,60.17035430840072,
1.0,9.0,2.0,4.0,21.0,,,,,,,,,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.82300289999694,None,70.82300289999694,None,72.93953329999931,None,0.01004565999028273,None,['return'],[0.7919098000056692],74.34350070000073,None,,,,,,,1,001,2021_Nov_17_2303,eeg_contingent_digits,2021.2.3,60.17035430840072,
