audiofile,duration,noise,voice,words,callSign,colour,number,levels,file,rater,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,newidx,block
audio/SiSSN_DE_Neural2-D_Ad-ge-Ei_-5db.wav,5.6324,SiSSN,Neural2-D,Ad-ge-Ei,Ad,ge,Ei,-5db,DE_Neural2-D_Ad-ge-Ei.TextGrid,Rahel,0.17712,4.873513603157095,0.8136790897989806,1.36594734125225,2.77616047898223,3.1438999590668644,4.4214181133039405,4.873513603157095,2,SSN1
audio/SiSSN_DE_Neural2-D_Dr-ro-Dr_-5db.wav,5.2813,SiSSN,Neural2-D,Dr-ro-Dr,Dr,ro,Dr,-5db,DE_Neural2-D_Dr-ro-Dr.TextGrid,Rahel,0.16712,4.548200348323181,0.8389217209367563,1.2813694368728097,2.6145185872302528,3.0235973413499,4.286810147427999,4.548200348323181,0,SSN1
audio/SiSSN_DE_Neural2-D_Kr-gr-Vi_-7.5db.wav,5.4463,SiSSN,Neural2-D,Kr-gr-Vi,Kr,gr,Vi,-7.5db,DE_Neural2-D_Kr-gr-Vi.TextGrid,Rahel,0.16712,4.704973515814014,0.8329921854329504,1.2873504004121537,2.657274194027131,3.0593780280409844,4.32712,4.704973515814014,27,SSN1
audio/SiSSN_DE_Neural2-F_Ti-gr-Zw_0db.wav,4.9512,SiSSN,Neural2-F,Ti-gr-Zw,Ti,gr,Zw,0db,DE_Neural2-F_Ti-gr-Zw.TextGrid,Rahel,0.15712,4.203821128586511,0.7341822328173828,1.2022735148095702,2.2512973063643367,2.612793543942462,3.819152055266198,4.203821128586511,6,SSN1
audio/SiSSN_DE_Neural2-F_Kr-gr-Dr_0db.wav,4.8722,SiSSN,Neural2-F,Kr-gr-Dr,Kr,gr,Dr,0db,DE_Neural2-F_Kr-gr-Dr.TextGrid,Rahel,0.17712,4.12522378390319,0.7264056225996892,1.2520240758024528,2.2608458284455057,2.61712,3.8185180053532046,4.12522378390319,19,SSN1
audio/SiSSN_DE_Neural2-D_Kr-gr-Dr_-5db.wav,5.4346,SiSSN,Neural2-D,Kr-gr-Dr,Kr,gr,Dr,-5db,DE_Neural2-D_Kr-gr-Dr.TextGrid,Rahel,0.16712,4.686578214391308,0.8375681673119657,1.2877708203805425,2.7092705643108355,3.1073311021935037,4.416965326112951,4.686578214391308,7,SSN1
audio/SiSSN_DE_Neural2-D_Ti-gr-Ei_-5db.wav,5.6496,SiSSN,Neural2-D,Ti-gr-Ei,Ti,gr,Ei,-5db,DE_Neural2-D_Ti-gr-Ei.TextGrid,Rahel,0.16712,4.909378414811985,0.9100928218041288,1.333158333841166,2.769732742072978,3.16712,4.442684271846128,4.909378414811985,27,SSN1
audio/SiSSN_DE_Neural2-D_Ti-ge-Zw_-7.5db.wav,5.4068,SiSSN,Neural2-D,Ti-ge-Zw,Ti,ge,Zw,-7.5db,DE_Neural2-D_Ti-ge-Zw.TextGrid,Rahel,0.16712,4.656085777779646,0.9085956376407172,1.3229695542630764,2.672229095424165,3.041686144748529,4.31509716547514,4.656085777779646,10,SSN1
audio/SiSSN_DE_Neural2-D_Ad-ge-Vi_-5db.wav,5.4884,SiSSN,Neural2-D,Ad-ge-Vi,Ad,ge,Vi,-5db,DE_Neural2-D_Ad-ge-Vi.TextGrid,Rahel,0.16712,4.7477199623405735,0.8262658302367619,1.3464301363891045,2.7613646506883684,3.1248374868392665,4.377825344632236,4.7477199623405735,28,SSN1
audio/SiSSN_DE_Neural2-D_Ti-ge-Vi_0db.wav,5.4912,SiSSN,Neural2-D,Ti-ge-Vi,Ti,ge,Vi,0db,DE_Neural2-D_Ti-ge-Vi.TextGrid,Rahel,0.17712,4.695952134991509,0.9091663863292324,1.32358517675892,2.700845743112182,3.0722163801173905,4.322653968728488,4.695952134991509,7,SSN1
